Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,1.131250,1.133550,1.129600,1.131800,1.131800,158626
2019-03-07,1.131500,1.132850,1.118450,1.119100,1.119100,149341
2019-03-08,1.120150,1.125350,1.119250,1.125000,1.125000,365760
2019-03-10,null,null,null,null,null,null
2019-03-11,1.124300,1.126450,1.122800,1.124600,1.124600,240958
2019-03-12,1.125300,1.131100,1.125250,1.130200,1.130200,233454
2019-03-13,1.129400,1.134300,1.128200,1.133450,1.133450,336634
2019-03-14,1.133150,1.133950,1.129550,1.130200,1.130200,330049
2019-03-15,1.130600,1.134550,1.130100,1.132150,1.132150,285176
2019-03-17,null,null,null,null,null,null
2019-03-18,1.132200,1.135850,1.131950,1.134350,1.134350,83543
2019-03-19,1.136300,1.138650,1.136200,1.137900,1.137900,5101
2019-03-20,1.137050,1.147200,1.136100,1.147150,1.147150,612
2019-03-21,1.145200,1.145550,1.136650,1.137550,1.137550,403
2019-03-22,1.139500,1.141150,1.129650,1.131550,1.131550,1228
2019-03-24,null,null,null,null,null,null
2019-03-25,1.131800,1.135050,1.131750,1.133250,1.133250,2258
2019-03-26,1.133550,1.134500,1.128600,1.129850,1.129850,2634
2019-03-27,1.129000,1.130250,1.126300,1.128300,1.128300,627
2019-03-28,1.126850,1.127500,1.123000,1.124100,1.124100,1258
2019-03-29,1.124150,1.126050,1.122800,1.122900,1.122900,762
2019-03-31,null,null,null,null,null,null
2019-04-01,1.124200,1.126300,1.121750,1.122550,1.122550,374
2019-04-02,1.121500,1.122500,1.119600,1.121000,1.121000,458
2019-04-03,1.122050,1.126600,1.122050,1.125050,1.125050,343
2019-04-04,1.124850,1.125400,1.121800,1.122850,1.122850,3171
2019-04-05,1.123000,1.126000,1.122400,1.122500,1.122500,955
2019-04-07,null,null,null,null,null,null
2019-04-08,1.122400,1.128000,1.122400,1.126850,1.126850,2960
2019-04-09,1.126150,1.128750,1.126150,1.127250,1.127250,657
2019-04-10,1.127050,1.129200,1.124100,1.127600,1.127600,2587
2019-04-11,1.128150,1.128800,1.125700,1.125750,1.125750,313
2019-04-12,1.128800,1.132400,1.128500,1.129700,1.129700,506
2019-04-14,null,null,null,null,null,null
2019-04-15,1.130400,1.131800,1.130250,1.130600,1.130600,1404
2019-04-16,1.132800,1.133950,1.130550,1.131400,1.131400,616
